,angles,ranges,intensity
0,3.650181531906128,1.031000018119812,239.0
1,3.664001366123557,1.031000018119812,239.0
2,3.6778212003409863,1.0160000324249268,239.0
3,3.6916410345584154,1.0160000324249268,238.0
4,3.7054608687758446,1.0,240.0
5,3.7192807029932737,1.0,240.0
6,3.733100537210703,1.0,241.0
7,3.746920371428132,0.9850000143051147,239.0
8,3.760740205645561,0.9850000143051147,239.0
9,3.7745600398629904,0.9850000143051147,238.0
10,3.7883798740804195,0.968999981880188,237.0
11,3.8021997082978487,0.968999981880188,239.0
12,3.8159878253936768,0.968999981880188,238.0
13,3.829839392565191,0.968999981880188,239.0
14,3.843690959736705,0.9539999961853027,238.0
15,3.857542526908219,0.9539999961853027,240.0
16,3.871394094079733,0.9539999961853027,239.0
17,3.885245661251247,0.9539999961853027,238.0
18,3.899097228422761,0.9380000233650208,240.0
19,3.912948795594275,0.9380000233650208,240.0
20,3.926800362765789,0.9380000233650208,238.0
21,3.940651929937303,0.9380000233650208,239.0
22,3.954503497108817,0.9380000233650208,238.0
23,3.968355064280331,0.9380000233650208,235.0
24,3.9816195964813232,0.9070000052452087,237.0
25,3.9946936992928386,0.9229999780654907,236.0
26,4.007767802104354,0.9229999780654907,235.0
27,4.020841904915869,0.9229999780654907,235.0
28,4.033916007727385,0.9229999780654907,236.0
29,4.0469901105389,0.9070000052452087,236.0
30,4.060064213350415,0.9070000052452087,235.0
31,4.073138316161931,0.9070000052452087,235.0
32,4.086212418973446,0.9380000233650208,229.0
33,4.099286521784961,1.9459999799728394,219.0
34,4.1123606245964766,1.9620000123977661,224.0
35,4.125434727407992,1.9930000305175781,224.0
36,4.139921188354492,2.007999897003174,222.0
37,4.153661689721048,3.822000026702881,218.0
38,4.167402191087604,2.8450000286102295,217.0
39,4.181142692454159,2.8299999237060547,224.0
40,4.194883193820715,2.8299999237060547,224.0
41,4.208623695187271,2.8299999237060547,223.0
42,4.222364196553826,2.813999891281128,220.0
43,4.236104697920382,2.7829999923706055,224.0
44,4.249845199286938,2.7829999923706055,227.0
45,4.263585700653493,2.7990000247955322,226.0
46,4.277326202020049,6.644000053405762,218.0
47,4.291066703386605,6.658999919891357,222.0
48,4.303981781005859,6.675000190734863,224.0
49,4.317706415429711,6.364999771118164,214.0
50,4.331431049853563,6.736999988555908,218.0
51,4.345155684277415,6.395999908447266,213.0
52,4.358880318701267,6.2870001792907715,216.0
53,4.372604953125119,2.427000045776367,216.0
54,4.386329587548971,2.441999912261963,206.0
55,4.400054221972823,3.1710000038146973,211.0
56,4.413778856396675,3.371999979019165,87.0
57,4.427503490820527,4.814000129699707,216.0
58,4.441228125244379,4.76800012588501,222.0
59,4.454952759668231,4.76800012588501,217.0
60,4.468217372894287,3.619999885559082,222.0
61,4.4824973391368985,3.6050000190734863,229.0
62,4.49677730537951,3.6050000190734863,224.0
63,4.511057271622121,2.565999984741211,222.0
64,4.525337237864733,2.5820000171661377,224.0
65,4.539617204107344,2.61299991607666,219.0
66,4.553897170349956,3.51200008392334,220.0
67,4.568177136592567,3.496000051498413,222.0
